word,moe_level
foam,1
focus,1
fog,1
folk,1
folklore,1
follow,1
following,1
food,1
fool,1
foolish,1
foot,1
football,1
for,1
force,1
foreign,1
foreigner,1
forest,1
forget,1
forgive,1
fork,1
form,1
formal,1
former,1
formula,1
forthcoming,1
forty,1
forward,1
four,1
fourteen,1
fox,1
france,1
frank,1
free,1
freedom,1
freezer,1
french,1
fresh,1
friday,1
friend,1
friendly,1
friendship,1
frighten,1
frisbee,1
frog,1
from,1
front,1
fruit,1
fry,1
full,1
fun,1
function,1
functional,1
funny,1
furniture,1
further,1
furthermore,1
fuss,1
future,1
gain,1
game,1
garage,1
garbage,1
garden,1
gas,1
gasoline,1
gate,1
gather,1
general,1
generous,1
genius,1
gentle,1
gentleman,1
geography,1
germany,1
gesture,1
get,1
ghost,1
giant,1
gift,1
girl,1
give,1
glad,1
glass,1
glasses,1
glove,1
glue,1
go,1
goat,1
god,1
gold,1
golden,1
golf,1
good,1
good-looking,1
goodbye,1
goose,1
government,1
gown,1
graceful,1
grade,1
graduate,1
gram,1
grammar,1
grand,1
granddaughter,1
grandfather,1
grandmother,1
grandson,1
grape,1
graphic,1
grass,1
grasshopper,1
gratitude,1
gray,1
great,1
greedy,1
green,1
greet,1
ground,1
group,1
grow,1
growth,1
guard,1
guava,1
guess,1
guest,1
guide,1
guitar,1
gun,1
guy,1
gym,1
habit,1
hair,1
haircut,1
half,1
hall,1
halloween,1
ham,1
hamburger,1
hammer,1
hand,1
handkerchief,1
handle,1
handsome,1
hang,1
hanger,1
happen,1
happy,1
hard,1
hardly,1
hat,1
hate,1
hateful,1
have,1
hay,1
he,1
head,1
headache,1
heal,1
health,1
healthy,1
hear,1
heart,1
heat,1
heater,1
heavy,1
hedge,1
height,1
helicopter,1
hello,1
helmet,1
help,1
helpful,1
hen,1
her,1
here,1
hero,1
heroine,1
hers,1
herself,1
hey,1
hi,1
hide,1
high,1
highway,1
hike,1
hill,1
him,1
himself,1
hip,1
hippopotamus,1
hire,1
his,1
history,1
hit,1
hobby,1
hold,1
hole,1
holiday,1
home,1
homesick,1
hometown,1
homework,1
honest,1
honesty,1
honey,1
hong,1
hop,1
hope,1
horrible,1
horse,1
hospital,1
host,1
hostess,1
hot,1
hotel,1
hour,1
house,1
how,1
however,1
howl,1
httpswwwnaeredutwfi,1
hualian,1
huge,1
human,1
humble,1
humid,1
humiliate,1
humor,1
humorous,1
hundred,1
hunger,1
hungry,1
hunt,1
hunter,1
hurry,1
hurt,1
husband,1
ice,1
idea,1
identify,1
if,1
ignore,1
ill,1
imagine,1
import,1
importance,1
important,1
improve,1
in,1
inch,1
incline,1
include,1
including,1
income,1
increase,1
independent,1
indicate,1
individual,1
industry,1
infinite,1
inflation,1
inflict,1
influence,1
information,1
injure,1
injury,1
ink,1
insect,1
inside,1
insist,1
inspire,1
instant,1
instrument,1
integrity,1
interest,1
international,1
internet,1
interpret,1
interpretation,1
interrupt,1
interview,1
intimate,1
into,1
intrinsic,1
introduce,1
introduction,1
invariable,1
invent,1
invitation,1
invite,1
involve,1
iron,1
is,1
island,1
issue,1
it,1
itch,1
its,1
itself,1
ivory,1
jacket,1
jam,1
january,1
japan,1
japanese,1
jazz,1
jealous,1
jeans,1
jeep,1
jewelry,1
job,1
jockey,1
jog,1
join,1
joint,1
joke,1
journalism,1
journalist,1
joy,1
joyous,1
judge,1
judgmentjudgement,1
juice,1
july,1
jump,1
june,1
junior,1
just,1
kangaroo,1
kaohsiung,1
keep,1
ketchup,1
key,1
kick,1
kid,1
kill,1
kilogram,1
kilometer,1
kind,1
kindergarten,1
king,1
kingdom,1
kiss,1
kitchen,1
kite,1
kitten,1
knee,1
knife,1
knock,1
know,1
knowledge,1
koala,1
korea,1
korean,1
ktv,1
labor,1
lack,1
lady,1
lake,1
lamb,1
lamp,1
land,1
language,1
lantern,1
large,1
last,1
late,1
later,1
latest,1
laugh,1
law,1
lawyer,1
lay,1
layout,1
lazy,1
lead,1
leader,1
leadership,1
leaf,1
league,1
lean,1
learn,1
least,1
leave,1
lecture,1
left,1
left-hand,1
leg,1
legacy,1
legal,1
lemon,1
lend,1
length,1
less,1
lesson,1
let,1
letter,1
lettuce,1
level,1
levy,1
library,1
lick,1
lid,1
lie,1
life,1
lift,1
light,1
lighthouse,1
lightning,1
like,1
likely,1
likewise,1
limit,1
line,1
lion,1
lip,1
liquid,1
liquor,1
list,1
listen,1
liter,1
literacy,1
literate,1
little,1
live,1
living,1
loaf,1
local,1
lock,1
lonely,1
long,1
look,1
lose,1
loser,1
loss,1
lot,1
loud,1
love,1
lovely,1
lover,1
low,1
luck,1
lucky,1
lunch,1
ma'am,1
machine,1
mad,1
magazine,1
magic,1
magician,1
mail,1
main,1
mainland,1
majesty,1
major,1
make,1
makeup,1
male,1
mall,1
man,1
manager,1
mandarin,1
mandate,1
mango,1
manner,1
many,1
map,1
marathon,1
march,1
mark,1
marker,1
market,1
marriage,1
marry,1
marvelous,1
mask,1
mass,1
master,1
mat,1
match,1
material,1
math,1
matter,1
maximum,1
may,1
maybe,1
me,1
meal,1
mean,1
meaning,1
means,1
measure,1
meat,1
mechanic,1
medicine,1
medium,1
meet,1
meeting,1
melon,1
member,1
memory,1
men's,1
menu,1
message,1
metal,1
metaphor,1
meter,1
method,1
metropolitan,1
microwave,1
middle,1
midnight,1
might,1
mild,1
mile,1
military,1
milk,1
mill,1
million,1
millionaire,1
mind,1
mineral,1
minimize,1
minus,1
minute,1
mirror,1
miss,1
missing,1
mistake,1
mix,1
model,1
modern,1
moment,1
monday,1
money,1
monkey,1
monster,1
month,1
monthly,1
moon,1
mop,1
more,1
morning,1
mosquito,1
most,1
mother,1
mother's,1
motion,1
motor,1
motorcycle,1
mountain,1
mouse,1
mouth,1
move,1
movement,1
movie,1
mr,1
mrs,1
mrt,1
ms,1
much,1
mud,1
mug,1
mule,1
multiple,1
multiply,1
mumble,1
murmur,1
muscular,1
museum,1
music,1
musical,1
musician,1
must,1
my,1
myself,1
nail,1
name,1
napkin,1
narrow,1
nation,1
national,1
natural,1
nature,1
naughty,1
near,1
nearly,1
necessary,1
neck,1
necklace,1
need,1
needle,1
negative,1
neighbor,1
neither,1
nephew,1
nervous,1
nest,1
never,1
new,1
news,1
newspaper,1
next,1
nice,1
nice-looking,1
niece,1
night,1
nine,1
nineteen,1
ninety,1
no,1
nobody,1
nod,1
noise,1
noisy,1
nominee,1
none,1
nonetheless,1
noodle,1
noon,1
nor,1
norm,1
north,1
northern,1
nose,1
nostril,1
not,1
note,1
notebook,1
nothing,1
notice,1
notify,1
notion,1
notwithstanding,1
noun,1
nourishment,1
novel,1
november,1
now,1
number,1
nurse,1
o'clock,1
obey,1
object,1
occur,1
ocean,1
october,1
odd,1
odds,1
of,1
off,1
offer,1
office,1
officer,1
official,1
often,1
oil,1
ok,1
old,1
omit,1
on,1
once,1
one,1
ongoing,1
onion,1
online,1
only,1
open,1
operate,1
operation,1
opinion,1
opportunity,1
optimistic,1
or,1
orange,1
order,1
ordinary,1
organization,1
organize,1
oriental,1
other,1
our,1
ours,1
ourselves,1
out,1
outside,1
oven,1
over,1
overpass,1
own,1
owner,1
ox,1
pack,1
package,1
page,1
pain,1
painful,1
paint,1
painter,1
painting,1
pair,1
pajamas,1
pale,1
pan,1
panda,1
panel,1
pants,1
papaya,1
paper,1
pardon,1
parent,1
park,1
parking,1
parrot,1
part,1
partial,1
particular,1
party,1
pass,1
passenger,1
past,1
paste,1
pat,1
path,1
patient,1
pattern,1
pause,1
pay,1
pe,1
peace,1
peaceful,1
peach,1
pear,1
pen,1
pencil,1
people,1
pepper,1
percent,1
percentage,1
perfect,1
perhaps,1
period,1
periodic,1
persist,1
person,1
personal,1
pet,1
phenomenon,1
philippines,1
philosophical,1
phone,1
photo,1
photograph,1
photographer,1
photography,1
physics,1
pianist,1
piano,1
pick,1
pickpocket,1
picnic,1
picture,1
pie,1
piece,1
pig,1
pigeon,1
pile,1
pilgrim,1
pill,1
pillow,1
pilot,1
pin,1
pineapple,1
pink,1
pipe,1
pizza,1
place,1
plain,1
plan,1
plane,1
planet,1
plant,1
plate,1
platform,1
play,1
player,1
playground,1
pleasant,1
please,1
pleased,1
pleasure,1
plus,1
pm,1
pocket,1
poem,1
point,1
poison,1
police,1
policeman,1
policewoman,1
policy,1
polite,1
pollute,1
pollution,1
pond,1
pool,1
poor,1
pop,1
popcorn,1
popular,1
population,1
pork,1
pose,1
position,1
possible,1
post,1
postcard,1
pot,1
potato,1
pound,1
powder,1
power,1
powerful,1
practical,1
practice,1
praise,1
pray,1
precious,1
prefer,1
prepare,1
present,1
president,1
press,1
pretty,1
price,1
priest,1
prince,1
princess,1
principal,1
principle,1
print,1
printer,1
prison,1
prisoner,1
private,1
prize,1
probably,1
problem,1
proceed,1
process,1
produce,1
product,1
production,1
professor,1
program,1
progress,1
prohibit,1
prohibition,1
project,1
promise,1
pron,1
pronounce,1
pronunciation,1
proposal,1
propose,1
protect,1
protection,1
proud,1
prove,1
provide,1
public,1
pull,1
pump,1
pumpkin,1
punish,1
puppy,1
purple,1
purpose,1
purse,1
push,1
put,1
puzzle,1
quality,1
quarter,1
queen,1
question,1
quick,1
quiet,1
quit,1
quite,1
quiz,1
rabbit,1
race,1
radio,1
railroad,1
rain,1
rainbow,1
rainy,1
raise,1
rapid,1
rare,1
rat,1
rather,1
reach,1
read,1
ready,1
real,1
realism,1
realize,1
really,1
reason,1
receive,1
recent,1
record,1
rectangle,1
recycle,1
red,1
refrigerator,1
refuse,1
regard,1
regret,1
regular,1
relative,1
relay,1
release,1
reluctant,1
remember,1
remind,1
rent,1
repair,1
repeat,1
reply,1
report,1
reporter,1
republic,1
require,1
research,1
respect,1
respond,1
responsible,1
rest,1
restaurant,1
restroom,1
restructure,1
result,1
return,1
review,1
revise,1
revival,1
revive,1
revolution,1
rice,1
rich,1
riddle,1
ride,1
ridge,1
ridiculous,1
rifle,1
right,1
right-hand,1
ring,1
ripple,1
rise,1
river,1
road,1
rob,1
robot,1
rock,1
role,1
roll,1
roller,1
roof,1
room,1
root,1
rope,1
rose,1
round,1
row,1
royal,1
rub,1
rubber,1
rude,1
ruin,1
rule,1
ruler,1
run,1
rush,1
russia,1
sad,1
safe,1
safety,1
sail,1
sailor,1
salad,1
sale,1
salesperson,1
salt,1
same,1
sample,1
sand,1
sandwich,1
satisfy,1
saturday,1
saucer,1
savage,1
save,1
say,1
scale,1
scared,1
scarf,1
scene,1
scheme,1
school,1
science,1
scientist,1
scooter,1
score,1
screen,1
sea,1
search,1
season,1
seat,1
second,1
secret,1
secretary,1
section,1
sector,1
see,1
seed,1
seem,1
seesaw,1
seldom,1
selfish,1
sell,1
semester,1
send,1
senior,1
sense,1
separate,1
september,1
serious,1
servant,1
serve,1
service,1
set,1
setback,1
seven,1
seventeen,1
seventy,1
several,1
sew,1
shake,1
shall,1
shameful,1
shape,1
share,1
shark,1
sharp,1
shave,1
shaver,1
she,1
sheep,1
sheet,1
shelf,1
shine,1
ship,1
shirt,1
shock,1
shoe,1
shoot,1
shop,1
shore,1
short,1
shot,1
should,1
shoulder,1
shout,1
show,1
shower,1
shrimp,1
shut,1
shy,1
sick,1
side,1
sidewalk,1
sight,1
sign,1
significant,1
silence,1
silent,1
silly,1
silver,1
similar,1
simple,1
simply,1
since,1
sincere,1
sing,1
singapore,1
singer,1
single,1
sink,1
sir,1
sister,1
sit,1
six,1
sixteen,1
sixty,1
size,1
skate,1
skeptical,1
ski,1
skill,1
skillful,1
skim,1
skin,1
skinny,1
skirt,1
sky,1
slap,1
slavery,1
slay,1
sleep,1
sleepy,1
slender,1
slice,1
slide,1
slight,1
slim,1
slip,1
slipper,1
slow,1
small,1
smart,1
smell,1
smile,1
smoke,1
snack,1
snail,1
snake,1
sneaker,1
sneaky,1
snow,1
snowy,1
so,1
so-called,1
soap,1
soccer,1
social,1
society,1
sock,1
soda,1
sofa,1
soft,1
soldier,1
solution,1
solve,1
some,1
somebody,1
someone,1
something,1
sometimes,1
somewhere,1
son,1
song,1
soon,1
sore,1
sorry,1
sort,1
soul,1
sound,1
soup,1
sour,1
source,1
south,1
southern,1
soy,1
space,1
spaghetti,1
span,1
speak,1
speaker,1
special,1
specialist,1
specialty,1
specific,1
speech,1
speed,1
spell,1
spelling,1
spend,1
spider,1
spirit,1
spoon,1
sport,1
spread,1
spring,1
square,1
stage,1
stair,1
stamp,1
stand,1
standard,1
star,1
start,1
station,1
stationary,1
stationery,1
stature,1
statute,1
stay,1
steak,1
steal,1
steam,1
stem,1
step,1
stick,1
still,1
stingy,1
stockings,1
stomach,1
stomachache,1
stone,1
stop,1
store,1
storm,1
stormy,1
story,1
stove,1
straight,1
straightforward,1
strange,1
stranger,1
straw,1
strawberry,1
stream,1
street,1
strike,1
strong,1
structure,1
struggle,1
student,1
study,1
stupid,1
subject,1
subway,1
succeed,1
success,1
successful,1
such,1
sudden,1
sugar,1
suggest,1
suit,1
summer,1
sun,1
sunday,1
sunny,1
super,1
supermarket,1
supper,1
supply,1
support,1
sure,1
surf,1
surface,1
surprise,1
survive,1
swallow,1
swan,1
sweater,1
sweep,1
sweet,1
swim,1
swimsuit,1
swing,1
system,1
t-shirt,1
table,1
taichung,1
tail,1
tainan,1
taiwan,1
taiwanese,1
take,1
talent,1
talk,1
talkative,1
tall,1
tangerine,1
tank,1
target,1
taste,1
taxi,1
tea,1
teach,1
teacher,1
teacher's,1
team,1
teapot,1
tear,1
technique,1
teenager,1
teens,1
telecommunications,1
telephone,1
telephonephone,1
telescope,1
television,1
televisiontv,1
tell,1
temper,1
temperature,1
temple,1
ten,1
tennis,1
tent,1
term,1
terrible,1
terrific,1
test,1
textbook,1
than,1
thank,1
thanksgiving,1
that,1
the,1
theater,1
their,1
them,1
themselves,1
then,1
theoretical,1
theory,1
there,1
therefore,1
these,1
they,1
thick,1
thief,1
thin,1
thing,1
think,1
third,1
thirsty,1
thirteen,1
thirty,1
this,1
those,1
though,1
thought,1
thousand,1
three,1
throat,1
through,1
throughout,1
throw,1
thumb,1
thunder,1
thursday,1
thus,1
ticket,1
tidy,1
tie,1
tiger,1
till,1
time,1
tiny,1
tip,1
title,1
to,1
toast,1
today,1
toe,1
tofu,1
together,1
toilet,1
tolerable,1
tomato,1
tomorrow,1
tongue,1
tonight,1
too,1
tool,1
tooth,1
toothache,1
toothbrush,1
top,1
topic,1
total,1
touch,1
tour,1
toward,1
towel,1
tower,1
town,1
toy,1
track,1
trade,1
traditional,1
traffic,1
train,1
trap,1
trash,1
travel,1
treasure,1
treat,1
treatment,1
tree,1
trial,1
triangle,1
tribal,1
trick,1
trip,1
troop,1
tropic,1
trouble,1
trousers,1
truck,1
true,1
trumpet,1
trust,1
truth,1
try,1
tub,1
tuck,1
tuesday,1
tuition,1
tunnel,1
turkey,1
turn,1
turtle,1
tv,1
twelve,1
twenty,1
twice,1
two,1
type,1
typhoon,1
ugly,1
umbrella,1
uncle,1
under,1
undergo,1
underline,1
underpass,1
understand,1
underwear,1
uniform,1
unique,1
unit,1
universe,1
university,1
until,1
up,1
upload,1
upon,1
upper,1
upstairs,1
us,1
usa,1
use,1
used,1
useful,1
user,1
usual,1
usually,1
vacation,1
valentine's,1
valley,1
value,1
vary,1
vegetable,1
vendor,1
venture,1
verb,1
very,1
vessel,1
vest,1
victim,1
victory,1
video,1
view,1
village,1
vinegar,1
violin,1
visit,1
visitor,1
vocabulary,1
voice,1
volleyball,1
vote,1
voter,1
waist,1
wait,1
waiter,1
waitress,1
wake,1
waken,1
walk,1
wall,1
wallet,1
want,1
war,1
ward,1
warehouse,1
warm,1
warranty,1
wash,1
waste,1
watch,1
water,1
waterfall,1
watermelon,1
waterproof,1
wave,1
way,1
we,1
weak,1
wealthy,1
weapon,1
wear,1
weather,1
wedding,1
wednesday,1
week,1
weekday,1
weekend,1
weekly,1
weight,1
welcome,1
well,1
west,1
western,1
wet,1
whale,1
what,1
whatever,1
wheel,1
when,1
where,1
whereby,1
whether,1
which,1
while,1
white,1
who,1
whole,1
whom,1
whose,1
why,1
wide,1
widen,1
width,1
wife,1
wild,1
will,1
willing,1
win,1
wind,1
window,1
windy,1
wine,1
wing,1
winner,1
winter,1
wise,1
wish,1
with,1
withdraw,1
wither,1
within,1
without,1
wok,1
wolf,1
woman,1
women's,1
wonder,1
wonderful,1
wood,1
wooden,1
word,1
work,1
workbook,1
worker,1
workout,1
workplace,1
world,1
worry,1
worse,1
worst,1
worth,1
would,1
wound,1
wrist,1
write,1
writer,1
wrong,1
yard,1
yeah,1
year,1
yearly,1
yellow,1
yes,1
yesterday,1
yesyeah,1
yet,1
you,1
young,1
your,1
yours,1
yourself,1
youth,1
yummy,1
zebra,1
zero,1
zoo,1
abide,2
abnormal,2
absence,2
ache,2
achieve,2
acne,2
acquaint,2
acquire,2
affect,2
aggressive,2
agreeable,2
agreement,2
appropriate,2
approval,2
aspect,2
assist,2
assistance,2
attitude,2
attorney,2
attribute,2
auditorium,2
author,2
autobiography,2
average,2
await,2
awful,2
awkward,2
beg,2
behavior,2
boulevard,2
boundary,2
boxing,2
brake,2
breathe,2
brezina,2
browne,2
cafcafe,2
caffeine,2
calculator,2
calorie,2
candidate,2
canoe,2
capacity,2
category,2
challenge,2
chant,2
chapel,2
chapter,2
charitable,2
charity,2
chef,2
chemistry,2
cluster,2
coincidence,2
collins,2
commission,2
community,2
complex,2
compute,2
conceal,2
conclude,2
conduct,2
confederation,2
consequence,2
consequent,2
construct,2
consume,2
contribution,2
convey,2
conviction,2
coral,2
critic,2
crow,2
cruise,2
cultural,2
culture,2
dancer,2
delegation,2
delicate,2
delight,2
denial,2
density,2
depart,2
design,2
disciple,2
distinct,2
distinction,2
dormitorydorm,2
doubtful,2
dough,2
dove,2
drain,2
drastic,2
drawing,2
dreadful,2
dressing,2
electrical,2
electrician,2
element,2
emigrant,2
emigration,2
emission,2
equate,2
evaluate,2
evergreen,2
evolution,2
fame,2
fantasy,2
farewell,2
feature,2
final,2
flaw,2
foe,2
fuse,2
gardener,2
garlic,2
geographical,2
geometry,2
germ,2
gifted,2
grab,2
gracious,2
graduation,2
grant,2
gravity,2
hasty,2
headquarters,2
heighten,2
humanity,2
hurricane,2
hush,2
hut,2
hydrogen,2
impact,2
informative,2
infrastructure,2
ingredient,2
insecure,2
institute,2
intrude,2
invest,2
item,2
jelly,2
jet,2
journal,2
ladybug,2
lane,2
lap,2
lawmaker,2
lawn,2
learning,2
literary,2
maintain,2
majority,2
manifest,2
manufacturer,2
maple,2
migrant,2
minister,2
motivation,2
mound,2
mourn,2
moviefilm,2
mow,2
murderer,2
mushroom,2
nearby,2
normal,2
novelist,2
nowhere,2
nuclear,2
obtain,2
option,2
participant,2
participate,2
passion,2
passionate,2
perceive,2
phase,2
philosophy,2
photographic,2
photographphoto,2
phrase,2
pillar,2
pinch,2
pint,2
positive,2
possess,2
possession,2
possibility,2
postage,2
poster,2
postponement,2
posture,2
potent,2
potential,2
poultry,2
poverty,2
preach,2
previous,2
primarily,2
primary,2
productive,2
productivity,2
professional,2
profitable,2
profound,2
prophet,2
prosecute,2
purchase,2
quantity,2
railroadrailway,2
raincoat,2
