word,score,sources,cefr_rank,taiwan_rank,corpus_rank
complete,0.9262,"CEFR,Corpus,Taiwan",4.0,786,522
battery,0.9261,"CEFR,Corpus,Taiwan",4.0,349,1606
chapter,0.9257,"CEFR,Corpus,Taiwan",4.0,634,912
cash,0.9255,"CEFR,Corpus,Taiwan",4.0,593,1023
content,0.9254,"CEFR,Corpus,Taiwan",4.0,848,395
close,0.9253,"CEFR,Corpus,Taiwan",4.0,712,735
adventure,0.9252,"CEFR,Corpus,Taiwan",4.0,76,2310
brown,0.9251,"CEFR,Corpus,Taiwan",4.0,499,1268
button,0.925,"CEFR,Corpus,Taiwan",4.0,526,1205
advertisement,0.9246,"CEFR,Corpus,Taiwan",4.0,79,2322
county,0.9246,"CEFR,Corpus,Taiwan",4.0,897,302
boy,0.9245,"CEFR,Corpus,Taiwan",4.0,456,1393
date,0.9243,"CEFR,Corpus,Taiwan",4.0,981,102
attention,0.924,"CEFR,Corpus,Taiwan",4.0,283,1836
committee,0.9238,"CEFR,Corpus,Taiwan",4.0,769,643
career,0.9237,"CEFR,Corpus,Taiwan",4.0,576,1125
day,0.9236,"CEFR,Corpus,Taiwan",4.0,986,113
data,0.9236,"CEFR,Corpus,Taiwan",4.0,979,131
chat,0.9236,"CEFR,Corpus,Taiwan",4.0,643,962
collection,0.9234,"CEFR,Corpus,Taiwan",4.0,733,744
choose,0.9232,"CEFR,Corpus,Taiwan",4.0,676,892
capital,0.9231,"CEFR,Corpus,Taiwan",4.0,568,1163
beginning,0.9223,"CEFR,Corpus,Taiwan",4.0,372,1674
advantage,0.922,"CEFR,Corpus,Taiwan",4.0,75,2419
country,0.9219,"CEFR,Corpus,Taiwan",4.0,895,396
cancer,0.9213,"CEFR,Corpus,Taiwan",4.0,560,1244
bring,0.9213,"CEFR,Corpus,Taiwan",4.0,487,1425
budget,0.9213,"CEFR,Corpus,Taiwan",4.0,504,1383
certain,0.9212,"CEFR,Corpus,Taiwan",4.0,619,1100
clear,0.921,"CEFR,Corpus,Taiwan",4.0,700,907
church,0.921,"CEFR,Corpus,Taiwan",4.0,683,950
common,0.9209,"CEFR,Corpus,Taiwan",4.0,770,736
argument,0.9209,"CEFR,Corpus,Taiwan",4.0,228,2077
course,0.9205,"CEFR,Corpus,Taiwan",4.0,900,428
acid,0.9202,"CEFR,Corpus,Taiwan",4.0,38,2570
cost,0.9199,"CEFR,Corpus,Taiwan",4.0,884,489
born,0.9198,"CEFR,Corpus,Taiwan",4.0,445,1576
current,0.9196,"CEFR,Corpus,Taiwan",4.0,953,328
benefit,0.9195,"CEFR,Corpus,Taiwan",4.0,389,1727
block,0.919,"CEFR,Corpus,Taiwan",4.0,421,1662
ball,0.9189,"CEFR,Corpus,Taiwan",4.0,332,1887
credit,0.9188,"CEFR,Corpus,Taiwan",4.0,920,437
cause,0.9187,"CEFR,Corpus,Taiwan",4.0,603,1223
begin,0.9185,"CEFR,Corpus,Taiwan",4.0,371,1805
beyond,0.9184,"CEFR,Corpus,Taiwan",4.0,398,1740
channel,0.9174,"CEFR,Corpus,Taiwan",4.0,633,1193
break,0.9171,"CEFR,Corpus,Taiwan",4.0,465,1618
customer,0.9169,"CEFR,Corpus,Taiwan",4.0,959,404
commercial,0.9168,"CEFR,Corpus,Taiwan",4.0,765,885
balance,0.9167,"CEFR,Corpus,Taiwan",4.0,331,1963
conference,0.9166,"CEFR,Corpus,Taiwan",4.0,809,785
approximately,0.9165,"CEFR,Corpus,Taiwan",4.0,218,2248
attorney,0.9164,"CEFR,Corpus,Taiwan",4.0,285,2087
bag,0.9159,"CEFR,Corpus,Taiwan",4.0,328,1995
approval,0.9154,"CEFR,Corpus,Taiwan",4.0,213,2297
create,0.9152,"CEFR,Corpus,Taiwan",4.0,916,568
court,0.915,"CEFR,Corpus,Taiwan",4.0,902,608
design,0.9148,"CEFR,Corpus,Taiwan",4.0,1052,245
choice,0.9147,"CEFR,Corpus,Taiwan",4.0,675,1178
development,0.9139,"CEFR,Corpus,Taiwan",4.0,1072,223
december,0.9138,"CEFR,Corpus,Taiwan",4.0,1001,405
do,0.9137,"CEFR,Corpus,Taiwan",4.0,1147,47
clothing,0.9136,"CEFR,Corpus,Taiwan",4.0,718,1110
council,0.9132,"CEFR,Corpus,Taiwan",4.0,890,698
client,0.913,"CEFR,Corpus,Taiwan",4.0,705,1160
bottom,0.9127,"CEFR,Corpus,Taiwan",4.0,452,1796
commission,0.9125,"CEFR,Corpus,Taiwan",4.0,766,1028
department,0.9121,"CEFR,Corpus,Taiwan",4.0,1035,377
attack,0.9116,"CEFR,Corpus,Taiwan",4.0,278,2262
achieve,0.9115,"CEFR,Corpus,Taiwan",4.0,36,2866
description,0.911,"CEFR,Corpus,Taiwan",4.0,1048,379
assistant,0.9108,"CEFR,Corpus,Taiwan",4.0,266,2318
avoid,0.9108,"CEFR,Corpus,Taiwan",4.0,308,2215
construction,0.9107,"CEFR,Corpus,Taiwan",4.0,840,904
aim,0.9096,"CEFR,Corpus,Taiwan",4.0,107,2751
charge,0.9093,"CEFR,Corpus,Taiwan",4.0,637,1453
century,0.9092,"CEFR,Corpus,Taiwan",4.0,617,1505
automatically,0.9092,"CEFR,Corpus,Taiwan",4.0,302,2285
condition,0.9083,"CEFR,Corpus,Taiwan",4.0,806,1067
ahead,0.9083,"CEFR,Corpus,Taiwan",4.0,105,2800
apartment,0.9083,"CEFR,Corpus,Taiwan",4.0,196,2576
digital,0.9081,"CEFR,Corpus,Taiwan",4.0,1093,365
cover,0.9077,"CEFR,Corpus,Taiwan",4.0,904,846
classic,0.9077,"CEFR,Corpus,Taiwan",4.0,696,1360
capacity,0.9075,"CEFR,Corpus,Taiwan",4.0,567,1686
different,0.9068,"CEFR,Corpus,Taiwan",4.0,1088,421
atom,0.9068,"CEFR,Corpus,Taiwan",4.0,275,2431
associate,0.9061,"CEFR,Corpus,Taiwan",4.0,267,2475
each,0.9058,"CEFR,Corpus,Taiwan",4.0,1204,168
accurate,0.9057,"CEFR,Corpus,Taiwan",4.0,33,3066
daily,0.9056,"CEFR,Corpus,Taiwan",4.0,969,756
character,0.9055,"CEFR,Corpus,Taiwan",4.0,635,1586
continue,0.9052,"CEFR,Corpus,Taiwan",4.0,853,1056
communication,0.9051,"CEFR,Corpus,Taiwan",4.0,773,1257
copy,0.9047,"CEFR,Corpus,Taiwan",4.0,876,1016
breast,0.9047,"CEFR,Corpus,Taiwan",4.0,473,2012
down,0.9045,"CEFR,Corpus,Taiwan",4.0,1164,311
delivery,0.9036,"CEFR,Corpus,Taiwan",4.0,1030,673
email,0.9035,"CEFR,Corpus,Taiwan",4.0,1257,115
dvd,0.9034,"CEFR,Corpus,Taiwan",4.0,1201,256
birth,0.9031,"CEFR,Corpus,Taiwan",4.0,409,2223
cat,0.903,"CEFR,Corpus,Taiwan",4.0,597,1760
command,0.9028,"CEFR,Corpus,Taiwan",4.0,761,1362
buyer,0.9026,"CEFR,Corpus,Taiwan",4.0,528,1946
currently,0.9023,"CEFR,Corpus,Taiwan",4.0,954,903
bus,0.9022,"CEFR,Corpus,Taiwan",4.0,518,1982
consumer,0.9021,"CEFR,Corpus,Taiwan",4.0,842,1185
education,0.902,"CEFR,Corpus,Taiwan",4.0,1225,242
amazing,0.9014,"CEFR,Corpus,Taiwan",4.0,146,2928
assist,0.9012,"CEFR,Corpus,Taiwan",4.0,264,2644
during,0.9006,"CEFR,Corpus,Taiwan",4.0,1198,355
contract,0.9005,"CEFR,Corpus,Taiwan",4.0,856,1204
appeal,0.9,"CEFR,Corpus,Taiwan",4.0,200,2842
branch,0.9,"CEFR,Corpus,Taiwan",4.0,460,2200
affect,0.8997,"CEFR,Corpus,Taiwan",4.0,84,3140
alcohol,0.8994,"CEFR,Corpus,Taiwan",4.0,115,3073
bear,0.8991,"CEFR,Corpus,Taiwan",4.0,355,2490
connection,0.8991,"CEFR,Corpus,Taiwan",4.0,826,1327
aircraft,0.8989,"CEFR,Corpus,Taiwan",4.0,109,3103
civil,0.8988,"CEFR,Corpus,Taiwan",4.0,691,1668
cross,0.8986,"CEFR,Corpus,Taiwan",4.0,931,1083
breakfast,0.8984,"CEFR,Corpus,Taiwan",4.0,467,2237
certificate,0.898,"CEFR,Corpus,Taiwan",4.0,621,1869
behavior,0.898,"CEFR,Corpus,Taiwan",4.0,375,2478
battle,0.8979,"CEFR,Corpus,Taiwan",4.0,350,2541
death,0.8973,"CEFR,Corpus,Taiwan",4.0,995,967
boat,0.8973,"CEFR,Corpus,Taiwan",4.0,432,2360
arms,0.8971,"CEFR,Corpus,Taiwan",4.0,232,2860
chance,0.897,"CEFR,Corpus,Taiwan",4.0,628,1885
chief,0.8969,"CEFR,Corpus,Taiwan",4.0,667,1793
bath,0.8964,"CEFR,Corpus,Taiwan",4.0,347,2601
director,0.896,"CEFR,Corpus,Taiwan",4.0,1099,755
bridge,0.8958,"CEFR,Corpus,Taiwan",4.0,481,2289
discussion,0.8958,"CEFR,Corpus,Taiwan",4.0,1123,703
end,0.8957,"CEFR,Corpus,Taiwan",4.0,1280,317
direct,0.8954,"CEFR,Corpus,Taiwan",4.0,1095,783
culture,0.8951,"CEFR,Corpus,Taiwan",4.0,942,1172
coast,0.8947,"CEFR,Corpus,Taiwan",4.0,723,1726
brain,0.8945,"CEFR,Corpus,Taiwan",4.0,459,2386
billion,0.8944,"CEFR,Corpus,Taiwan",4.0,405,2522
automatic,0.8942,"CEFR,Corpus,Taiwan",4.0,301,2785
chair,0.8942,"CEFR,Corpus,Taiwan",4.0,623,1990
clean,0.8941,"CEFR,Corpus,Taiwan",4.0,698,1809
campaign,0.894,"CEFR,Corpus,Taiwan",4.0,553,2171
display,0.8935,"CEFR,Corpus,Taiwan",4.0,1134,750
east,0.893,"CEFR,Corpus,Taiwan",4.0,1212,576
even,0.8929,"CEFR,Corpus,Taiwan",4.0,1337,270
brother,0.8927,"CEFR,Corpus,Taiwan",4.0,498,2348
consider,0.8927,"CEFR,Corpus,Taiwan",4.0,830,1528
custom,0.8927,"CEFR,Corpus,Taiwan",4.0,958,1212
blow,0.8923,"CEFR,Corpus,Taiwan",4.0,426,2540
district,0.8919,"CEFR,Corpus,Taiwan",4.0,1140,789
decision,0.8918,"CEFR,Corpus,Taiwan",4.0,1004,1128
absolutely,0.8918,"CEFR,Corpus,Taiwan",4.0,11,3582
cool,0.8917,"CEFR,Corpus,Taiwan",4.0,873,1457
easy,0.8915,"CEFR,Corpus,Taiwan",4.0,1214,621
brief,0.8913,"CEFR,Corpus,Taiwan",4.0,482,2436
camp,0.8907,"CEFR,Corpus,Taiwan",4.0,552,2283
birthday,0.8907,"CEFR,Corpus,Taiwan",4.0,410,2634
document,0.8907,"CEFR,Corpus,Taiwan",4.0,1149,809
drive,0.8903,"CEFR,Corpus,Taiwan",4.0,1183,737
chemical,0.8903,"CEFR,Corpus,Taiwan",4.0,659,2033
anyway,0.8901,"CEFR,Corpus,Taiwan",4.0,192,3192
ancient,0.8897,"CEFR,Corpus,Taiwan",4.0,161,3283
anywhere,0.8897,"CEFR,Corpus,Taiwan",4.0,193,3204
cut,0.8891,"CEFR,Corpus,Taiwan",4.0,962,1324
complex,0.8889,"CEFR,Corpus,Taiwan",4.0,789,1758
every,0.8888,"CEFR,Corpus,Taiwan",4.0,1343,393
due,0.8887,"CEFR,Corpus,Taiwan",4.0,1195,761
bird,0.8886,"CEFR,Corpus,Taiwan",4.0,408,2707
closed,0.8885,"CEFR,Corpus,Taiwan",4.0,713,1958
deal,0.8885,"CEFR,Corpus,Taiwan",4.0,990,1274
degree,0.8883,"CEFR,Corpus,Taiwan",4.0,1022,1203
challenge,0.8881,"CEFR,Corpus,Taiwan",4.0,626,2185
claim,0.8881,"CEFR,Corpus,Taiwan",4.0,692,2022
beat,0.8881,"CEFR,Corpus,Taiwan",4.0,357,2851
estate,0.8881,"CEFR,Corpus,Taiwan",4.0,1329,450
coffee,0.888,"CEFR,Corpus,Taiwan",4.0,726,1942
edition,0.888,"CEFR,Corpus,Taiwan",4.0,1221,719
discount,0.8879,"CEFR,Corpus,Taiwan",4.0,1119,975
attempt,0.8877,"CEFR,Corpus,Taiwan",4.0,279,3056
broken,0.8872,"CEFR,Corpus,Taiwan",4.0,497,2535
chain,0.8867,"CEFR,Corpus,Taiwan",4.0,622,2242
aware,0.8867,"CEFR,Corpus,Taiwan",4.0,312,3010
early,0.8866,"CEFR,Corpus,Taiwan",4.0,1207,801
cold,0.8866,"CEFR,Corpus,Taiwan",4.0,728,1986
core,0.8865,"CEFR,Corpus,Taiwan",4.0,878,1617
find,0.8864,"CEFR,Corpus,Taiwan",4.0,1494,100
first,0.8863,"CEFR,Corpus,Taiwan",4.0,1502,83
family,0.8862,"CEFR,Corpus,Taiwan",4.0,1430,262
equipment,0.8862,"CEFR,Corpus,Taiwan",4.0,1318,540
arm,0.8862,"CEFR,Corpus,Taiwan",4.0,230,3230
for,0.8861,"CEFR,Corpus,Taiwan",4.0,1535,7
energy,0.8848,"CEFR,Corpus,Taiwan",4.0,1284,671
audience,0.8847,"CEFR,Corpus,Taiwan",4.0,290,3131
connect,0.8845,"CEFR,Corpus,Taiwan",4.0,824,1819
carry,0.8843,"CEFR,Corpus,Taiwan",4.0,586,2412
cast,0.8842,"CEFR,Corpus,Taiwan",4.0,595,2394
enter,0.8841,"CEFR,Corpus,Taiwan",4.0,1299,657
bedroom,0.8841,"CEFR,Corpus,Taiwan",4.0,366,2963
economic,0.8841,"CEFR,Corpus,Taiwan",4.0,1217,861
either,0.884,"CEFR,Corpus,Taiwan",4.0,1239,807
chart,0.8837,"CEFR,Corpus,Taiwan",4.0,640,2299
dog,0.8832,"CEFR,Corpus,Taiwan",4.0,1153,1047
free,0.8829,"CEFR,Corpus,Taiwan",4.0,1564,42
backup,0.8828,"CEFR,Corpus,Taiwan",4.0,321,3116
double,0.8826,"CEFR,Corpus,Taiwan",4.0,1162,1046
accident,0.8825,"CEFR,Corpus,Taiwan",4.0,22,3865
from,0.8824,"CEFR,Corpus,Taiwan",4.0,1580,21
entertainment,0.8822,"CEFR,Corpus,Taiwan",4.0,1304,707
event,0.8821,"CEFR,Corpus,Taiwan",4.0,1339,624
else,0.8821,"CEFR,Corpus,Taiwan",4.0,1255,833
example,0.882,"CEFR,Corpus,Taiwan",4.0,1357,583
file,0.8816,"CEFR,Corpus,Taiwan",4.0,1485,281
drug,0.8815,"CEFR,Corpus,Taiwan",4.0,1188,1018
division,0.8809,"CEFR,Corpus,Taiwan",4.0,1144,1147
experience,0.8807,"CEFR,Corpus,Taiwan",4.0,1382,566
attached,0.8806,"CEFR,Corpus,Taiwan",4.0,277,3298
bell,0.8802,"CEFR,Corpus,Taiwan",4.0,382,3053
competition,0.8798,"CEFR,Corpus,Taiwan",4.0,782,2078
assume,0.8794,"CEFR,Corpus,Taiwan",4.0,271,3354
dance,0.8794,"CEFR,Corpus,Taiwan",4.0,972,1622
correct,0.8793,"CEFR,Corpus,Taiwan",4.0,882,1847
environment,0.8791,"CEFR,Corpus,Taiwan",4.0,1314,786
deep,0.8789,"CEFR,Corpus,Taiwan",4.0,1011,1543
dark,0.8784,"CEFR,Corpus,Taiwan",4.0,978,1640
column,0.8781,"CEFR,Corpus,Taiwan",4.0,740,2239
critical,0.8779,"CEFR,Corpus,Taiwan",4.0,927,1783
debt,0.8778,"CEFR,Corpus,Taiwan",4.0,997,1612
cent,0.8776,"CEFR,Corpus,Taiwan",4.0,612,2572
congress,0.8772,"CEFR,Corpus,Taiwan",4.0,823,2062
following,0.8771,"CEFR,Corpus,Taiwan",4.0,1530,318
get,0.8771,"CEFR,Corpus,Taiwan",4.0,1628,77
couple,0.877,"CEFR,Corpus,Taiwan",4.0,898,1883
effective,0.877,"CEFR,Corpus,Taiwan",4.0,1228,1068
effect,0.877,"CEFR,Corpus,Taiwan",4.0,1227,1071
context,0.877,"CEFR,Corpus,Taiwan",4.0,851,2002
afternoon,0.8767,"CEFR,Corpus,Taiwan",4.0,91,3890
full,0.8767,"CEFR,Corpus,Taiwan",4.0,1586,196
ever,0.8767,"CEFR,Corpus,Taiwan",4.0,1342,799
engineering,0.8766,"CEFR,Corpus,Taiwan",4.0,1289,931
develop,0.8764,"CEFR,Corpus,Taiwan",4.0,1069,1482
checkout,0.8764,"CEFR,Corpus,Taiwan",4.0,652,2514
directly,0.8763,"CEFR,Corpus,Taiwan",4.0,1098,1413
disease,0.8763,"CEFR,Corpus,Taiwan",4.0,1124,1351
electronic,0.876,"CEFR,Corpus,Taiwan",4.0,1247,1055
found,0.8759,"CEFR,Corpus,Taiwan",4.0,1556,295
dead,0.8759,"CEFR,Corpus,Taiwan",4.0,988,1700
bike,0.8756,"CEFR,Corpus,Taiwan",4.0,403,3155
